"Story","Title","Result","Date","Stability","Duration (s)"
"Login page test","App login test","FAILURE","2021-02-02T08:46:44.185+01:00[Africa/Luanda]","0.0","14.89"
"Login page test","Contacts test","FAILURE","2021-02-02T08:47:00.365+01:00[Africa/Luanda]","0.0","14.67"
