"Story","Title","Result","Date","Stability","Duration (s)"
"Account page test","Search test","ERROR","2021-02-02T08:22:23.531+01:00[Africa/Luanda]","0.0","0.77"
"Account page test","Account page logo test","ERROR","2021-02-02T08:22:24.599+01:00[Africa/Luanda]","0.0","0.07"
