"Story","Title","Result","Date","Stability","Duration (s)"
"Login page test","App login test","ERROR","2021-01-27T06:39:28.505+01:00[Africa/Luanda]","0.0","8.87"
"Login page test","Contacts test","ERROR","2021-01-27T06:39:37.815+01:00[Africa/Luanda]","0.0","2.58"
